"","x"
"1",1145
"2",1153
"3",1158
"4",1148
"5",1157
"6",1150
"7",1151
"8",1155
"9",1149
"10",1144
"11",1152
"12",1734
"13",2775
"14",1732
"15",1731
"16",1146
"17",1159
"18",1739
"19",1188
"20",1196
"21",1195
"22",1184
"23",1193
"24",1187
"25",1186
"26",2280
"27",2278
"28",2282
"29",2279
"30",285
"31",283
"32",284
"33",1846
"34",280
"35",1854
"36",1797
"37",1824
"38",1835
"39",1818
"40",1825
"41",1749
"42",1837
"43",1753
"44",1752
"45",1751
"46",1755
"47",1743
"48",1744
"49",1748
"50",1741
"51",1745
"52",1746
"53",1757
"54",289
"55",1166
"56",1171
"57",1183
"58",1161
"59",1175
"60",291
"61",2882
"62",2793
"63",2892
"64",2815
"65",2891
"66",2902
"67",2859
"68",2901
"69",2872
"70",1167
"71",2835
"72",2803
"73",2894
"74",2871
"75",2852
"76",2810
"77",2861
"78",2842
"79",2840
"80",2828
"81",2829
"82",2911
"83",2836
"84",2814
"85",2878
"86",1163
"87",1177
"88",2862
"89",2834
"90",2848
"91",2833
"92",2822
"93",2845
"94",2837
"95",2850
"96",2849
"97",2843
"98",2881
"99",2908
"100",2896
"101",2905
"102",2916
"103",1883
"104",1871
"105",1926
"106",1928
"107",2886
"108",2909
"109",2915
"110",1893
"111",1877
"112",1945
"113",1884
"114",1904
"115",1950
"116",1864
"117",1915
"118",1902
"119",2893
"120",2870
"121",1922
"122",1898
"123",2826
"124",2890
"125",2874
"126",2832
"127",2904
"128",2918
"129",2873
"130",2805
"131",2898
"132",2858
"133",2887
"134",2907
"135",2813
"136",2807
"137",2823
"138",2856
"139",2790
"140",2851
"141",2841
"142",2844
"143",2806
"144",2827
"145",2855
"146",2889
"147",1935
"148",1897
"149",1857
"150",1924
"151",1888
"152",1873
"153",1929
"154",1895
"155",1947
"156",1891
"157",1948
"158",1907
"159",1954
"160",1952
"161",1910
"162",1887
"163",1923
"164",1908
"165",1881
"166",1872
"167",1925
"168",1863
"169",1896
"170",1930
"171",1889
"172",1920
"173",1949
"174",2799
"175",2857
"176",2811
"177",2801
"178",2818
"179",2885
"180",2788
"181",2847
"182",2792
"183",2802
"184",2796
"185",2900
"186",2791
"187",2884
"188",2899
"189",2864
"190",2795
"191",2996
"192",2831
"193",2994
"194",2917
"195",2794
"196",2914
"197",2897
"198",2865
"199",2825
"200",2853
"201",2868
"202",2987
"203",1170
"204",2997
"205",2236
"206",2989
"207",2983
"208",2240
"209",2273
"210",2963
"211",2212
"212",2214
"213",2973
"214",2050
"215",2024
"216",2059
"217",2087
"218",2253
"219",2230
"220",2235
"221",1801
"222",2271
"223",2220
"224",2247
"225",2013
"226",2052
"227",2037
"228",2076
"229",2085
"230",2019
"231",2043
"232",2088
"233",2039
"234",2016
"235",2993
"236",2984
"237",3010
"238",2065
"239",3006
"240",2995
"241",2070
"242",2069
"243",2067
"244",2093
"245",3012
"246",3011
"247",2976
"248",2062
"249",2014
"250",2036
"251",2985
"252",2964
"253",1023
"254",969
"255",2053
"256",1004
"257",2082
"258",2049
"259",2091
"260",2046
"261",2073
"262",2032
"263",2054
"264",2068
"265",2079
"266",2051
"267",2025
"268",2047
"269",2094
"270",2086
"271",2027
"272",2061
"273",2056
"274",2012
"275",2048
"276",2031
"277",2026
"278",2083
"279",2071
"280",2081
"281",1255
"282",2057
"283",2096
"284",2041
"285",2097
"286",2060
"287",2030
"288",2034
"289",2074
"290",2080
"291",2075
"292",2010
"293",1027
"294",981
"295",991
"296",1047
"297",1042
"298",1062
"299",994
"300",965
"301",1046
"302",1050
"303",1060
"304",1008
"305",1064
"306",1053
"307",1011
"308",1065
"309",1067
"310",1052
"311",1015
"312",962
"313",996
"314",1079
"315",993
"316",1016
"317",1035
"318",999
"319",1061
"320",1059
"321",1028
"322",982
"323",1043
"324",970
"325",1074
"326",1037
"327",1068
"328",964
"329",1044
"330",988
"331",1045
"332",2450
"333",961
"334",990
"335",975
"336",1073
"337",1066
"338",1030
"339",1069
"340",983
"341",2457
"342",2416
"343",2405
"344",2413
"345",2468
"346",2477
"347",2479
"348",2489
"349",2474
"350",2415
"351",2469
"352",2402
"353",2396
"354",2488
"355",2454
"356",2453
"357",2422
"358",42
"359",45
"360",2446
"361",2458
"362",2420
"363",2410
"364",2483
"365",2482
"366",2425
"367",2452
"368",2427
"369",2400
"370",2464
"371",413
"372",419
"373",470
"374",386
"375",416
"376",400
"377",451
"378",427
"379",365
"380",425
"381",391
"382",468
"383",380
"384",406
"385",418
"386",402
"387",480
"388",389
"389",414
"390",396
"391",432
"392",56
"393",61
"394",14
"395",19
"396",11
"397",4
"398",63
"399",32
"400",33
"401",53
"402",46
"403",66
"404",24
"405",1
"406",26
"407",62
"408",9
"409",44
"410",41
"411",499
"412",457
"413",472
"414",488
"415",491
"416",503
"417",443
"418",460
"419",397
"420",469
"421",456
"422",430
"423",464
"424",57
"425",384
"426",510
"427",481
"428",487
"429",493
"430",478
"431",486
"432",476
"433",3
"434",6
"435",51
"436",55
"437",21
"438",43
"439",7
"440",50
"441",18
"442",20
"443",16
"444",31
"445",320
"446",348
"447",27
"448",2
"449",307
"450",337
"451",357
"452",294
"453",298
"454",358
"455",23
"456",34
"457",388
"458",377
"459",407
"460",35
"461",322
"462",483
"463",401
"464",310
"465",329
"466",313
"467",309
"468",356
"469",327
"470",323
"471",423
"472",494
"473",372
"474",450
"475",444
"476",330
"477",353
"478",303
"479",293
"480",354
"481",301
"482",346
"483",308
"484",355
"485",350
"486",339
"487",325
"488",351
"489",319
"490",344
"491",315
"492",340
"493",296
"494",338
"495",321
"496",347
"497",333
"498",341
"499",297
"500",334
"501",335
"502",302
"503",316
"504",312
"505",318
"506",304
"507",326
"508",299
"509",331
"510",349
"511",343
"512",342
"513",317
"514",300
"515",332
"516",345
"517",295
"518",292
"519",328
"520",311
"521",305
"522",324
"523",352
"524",314
"525",408
"526",390
"527",506
"528",360
"529",368
"530",395
"531",393
"532",458
"533",362
"534",459
"535",405
"536",446
"537",404
"538",454
"539",434
"540",474
"541",514
"542",398
"543",500
"544",517
"545",495
"546",435
"547",367
"548",492
"549",511
"550",438
"551",392
"552",361
"553",471
"554",371
"555",509
"556",382
"557",336
"558",306
"559",378
"560",421
"561",453
"562",447
"563",383
"564",373
"565",449
"566",359
"567",490
"568",412
"569",374
"570",379
"571",411
"572",496
"573",461
"574",498
"575",445
"576",403
"577",370
"578",516
"579",501
"580",369
"581",442
"582",363
"583",475
"584",437
"585",376
"586",484
"587",433
"588",465
"589",505
"590",462
"591",424
"592",428
"593",507
"594",420
"595",508
"596",441
"597",439
"598",440
"599",482
"600",409
"601",2309
"602",2289
"603",2292
"604",2300
"605",2297
"606",2307
"607",2285
"608",2287
"609",2320
"610",2291
"611",2288
"612",2284
"613",375
"614",479
"615",394
"616",452
"617",2301
"618",2323
"619",2318
"620",2326
"621",2312
"622",2315
"623",2306
"624",2283
"625",448
"626",515
"627",489
"628",466
"629",387
"630",467
"631",410
"632",455
"633",436
"634",364
"635",417
"636",431
"637",2286
"638",2319
"639",485
"640",426
"641",512
"642",477
"643",2321
"644",1944
"645",2305
"646",2324
"647",1931
"648",1937
"649",2293
"650",1879
"651",1868
"652",1912
"653",1901
"654",1867
"655",1900
"656",1906
"657",1943
"658",1913
"659",497
"660",1878
"661",1894
"662",2399
"663",2447
"664",2467
"665",2456
"666",1876
"667",502
"668",463
"669",513
"670",422
"671",366
"672",473
"673",429
"674",15
"675",8
"676",58
"677",59
"678",37
"679",5
"680",22
"681",52
"682",48
"683",28
"684",36
"685",25
"686",10
"687",415
"688",385
"689",504
"690",399
"691",381
"692",2471
"693",2398
"694",2455
"695",2448
"696",2466
"697",2412
"698",2487
"699",2465
"700",2461
"701",2438
"702",2408
"703",986
"704",2463
"705",2419
"706",2470
"707",2459
"708",2395
"709",2441
"710",2401
"711",1077
"712",1033
"713",1075
"714",1063
"715",960
"716",1003
"717",1009
"718",1021
"719",1049
"720",974
"721",1006
"722",1002
"723",973
"724",1041
"725",1005
"726",1051
"727",1048
"728",1034
"729",989
"730",737
"731",689
"732",726
"733",682
"734",714
"735",677
"736",705
"737",612
"738",740
"739",578
"740",573
"741",582
"742",631
"743",635
"744",571
"745",588
