state_name,state_children,state_santa_households,state_households,state_santa_pct
Alabama,1011474,540352,1845962,29.27
Arizona,1485895,743021,2461457,30.19
Arkansas,645884,350273,1144505,30.60
California,8327965,4332553,12876260,33.65
Colorado,1151204,633660,2072978,30.57
Connecticut,703080,388775,1343421,28.94
Delaware,187402,105655,352597,29.96
District of Columbia,106001,62394,280853,22.22
Florida,3752664,1959001,7459178,26.26
Georgia,2295388,1206449,3655181,33.01
Idaho,401249,184223,597061,30.85
Illinois,2705051,1438510,4792210,30.02
Indiana,1445628,759161,2514346,30.19
Iowa,655829,351856,1246231,28.23
Kansas,663831,339756,1110597,30.59
Kentucky,924998,513847,1715598,29.95
Louisiana,1020503,523680,1737070,30.15
Maine,233077,131151,544866,24.07
Maryland,1231231,688850,2175333,31.67
Massachusetts,1273320,717762,2558209,28.06
Michigan,2025585,1074566,3855558,27.87
Minnesota,1170069,636856,2145269,29.69
Mississippi,667229,358316,1104032,32.46
Missouri,1268157,687520,2373177,28.97
Montana,206194,102537,414543,24.73
Nebraska,430879,230616,743524,31.02
Nevada,613031,303536,1041213,29.15
New Hampshire,239737,137800,517536,26.63
New Jersey,1829060,1026976,3184792,32.25
New Mexico,462767,220286,761486,28.93
New York,3837769,2064221,7228405,28.56
North Carolina,2096530,1150688,3842440,29.95
North Dakota,157645,91771,313342,29.29
Ohio,2400816,1313705,4604561,28.53
Oklahoma,874100,463242,1465877,31.60
Oregon,789341,417703,1551621,26.92
Pennsylvania,2459356,1345284,4953900,27.16
Rhode Island,194319,112113,407385,27.52
South Carolina,1001260,524769,1857085,28.26
South Dakota,193022,98694,339377,29.08
Tennessee,1367550,744384,2529392,29.43
Texas,6601823,3370011,9417898,35.78
Utah,833043,365309,929017,39.32
Vermont,105527,56534,254675,22.20
Virginia,1707255,950621,3105085,30.61
Washington,1482231,810475,2724521,29.75
West Virginia,346060,192739,734218,26.25
Wisconsin,1174008,644296,2318311,27.79
Wyoming,130531,68425,228912,29.89
