fips,county_name,households,under_18,one_unit,two_plus_unit,mobile_other_unit
01001,"Autauga County, Alabama",20396,7241,15113,1754,3508
01003,"Baldwin County, Alabama",74104,20304,54615,10523,8967
01005,"Barbour County, Alabama",9222,2923,5755,1171,2296
01007,"Bibb County, Alabama",7027,2284,4659,506,1862
01009,"Blount County, Alabama",20816,7327,15071,1020,4725
01011,"Bullock County, Alabama",3683,1131,2085,357,1241
01013,"Butler County, Alabama",8056,2441,4954,1120,1982
01015,"Calhoun County, Alabama",45154,14088,33369,5689,6096
01017,"Chambers County, Alabama",13787,3502,9996,1503,2289
01019,"Cherokee County, Alabama",11278,3451,7985,564,2729
01021,"Chilton County, Alabama",16237,5488,10603,698,4952
01023,"Choctaw County, Alabama",5575,1483,3635,295,1645
01025,"Clarke County, Alabama",9622,2492,6081,953,2588
01027,"Clay County, Alabama",5419,1550,3555,509,1360
01029,"Cleburne County, Alabama",5776,1837,3806,422,1548
01031,"Coffee County, Alabama",19160,6361,14811,1859,2491
01033,"Colbert County, Alabama",22204,6373,17408,2664,2132
01035,"Conecuh County, Alabama",5168,1390,3240,450,1478
01037,"Coosa County, Alabama",4450,1099,2737,196,1517
01039,"Covington County, Alabama",14949,4619,11376,927,2646
01041,"Crenshaw County, Alabama",5383,1658,3547,431,1405
01043,"Cullman County, Alabama",31287,9417,22652,2785,5851
01045,"Dale County, Alabama",19018,5839,13636,2244,3138
01047,"Dallas County, Alabama",16413,5072,10176,3283,2954
01049,"DeKalb County, Alabama",25013,8104,18209,1751,5053
01051,"Elmore County, Alabama",28651,9713,21431,2321,4899
01053,"Escambia County, Alabama",13659,4426,9438,1584,2636
01055,"Etowah County, Alabama",39899,12089,31321,4469,4149
01057,"Fayette County, Alabama",7037,2020,4820,746,1471
01059,"Franklin County, Alabama",11980,3786,8781,1402,1797
01061,"Geneva County, Alabama",10754,3140,7184,527,3033
01063,"Greene County, Alabama",3201,762,1610,410,1184
01065,"Hale County, Alabama",5927,1855,3615,522,1790
01067,"Henry County, Alabama",6894,1834,4909,434,1551
01069,"Houston County, Alabama",39197,12190,28457,5409,5331
01071,"Jackson County, Alabama",20431,5986,14731,1675,4025
01073,"Jefferson County, Alabama",260929,80627,191783,60536,8350
01075,"Lamar County, Alabama",6138,1940,4297,792,1050
01077,"Lauderdale County, Alabama",38612,11082,29152,5676,3784
01079,"Lawrence County, Alabama",13537,4345,9598,772,3168
01081,"Lee County, Alabama",57171,18981,34303,13092,9776
01083,"Limestone County, Alabama",32213,10630,25706,2674,3866
01085,"Lowndes County, Alabama",4282,1323,2561,355,1366
01087,"Macon County, Alabama",8009,2146,5294,1057,1658
01089,"Madison County, Alabama",137767,42708,103739,27416,6613
01091,"Marengo County, Alabama",8281,2559,5523,936,1830
01093,"Marion County, Alabama",12714,3941,8951,1246,2505
01095,"Marshall County, Alabama",34261,11340,25867,3495,4899
01097,"Mobile County, Alabama",154188,50882,117337,24516,12335
01099,"Monroe County, Alabama",8406,2219,5708,672,2026
01101,"Montgomery County, Alabama",89532,29814,67059,18981,3492
01103,"Morgan County, Alabama",46235,14841,34399,6797,5040
01105,"Perry County, Alabama",3450,873,2029,573,849
01107,"Pickens County, Alabama",7644,2278,5076,948,1621
