state_name,state_total,state_santa_households,state_households,state_santa_pct
Alabama,1015126,541104,1965991,27.52321857
Arizona,1482206,745047,2617694,28.46195927
Arkansas,650869,356414,1228684,29.00778394
California,8366642,4364959,13717342,31.82073466
Colorado,1163456,640307,2190485,29.23128896
Connecticut,700544,388543,1460636,26.60094644
Delaware,187140,103673,378180,27.41366545
District of Columbia,109535,62911,321997,19.53775967
Florida,3780099,1978254,7893840,25.0607309
Georgia,2308187,1221508,3916767,31.18663939
Idaho,396056,184584,627792,29.40209496
Illinois,2723406,1451350,5094207,28.49020466
Indiana,1435354,761026,2703642,28.14817938
Iowa,665195,355049,1348221,26.33462911
Kansas,660030,340854,1190594,28.62890288
Kentucky,934995,516606,1845006,28.00023415
Louisiana,1027595,522246,1866297,27.98300592
Maine,234205,130706,581025,22.4957618
Maryland,1233859,691955,2318199,29.84881798
Massachusetts,1273958,726945,2812036,25.85119821
Michigan,2033951,1083273,4085716,26.5136637
Minnesota,1180906,643023,2281231,28.18754436
Mississippi,670740,360854,1198351,30.11254632
Missouri,1274580,689099,2549111,27.03291461
Montana,208304,105444,443674,23.76609853
Nebraska,426413,232551,796530,29.19551053
Nevada,610421,303813,1078799,28.16215069
New Hampshire,243446,138530,559376,24.76509539
New Jersey,1841354,1030078,3373976,30.53009269
New Mexico,461764,222617,804881,27.65837434
New York,3868747,2094713,7808297,26.82675877
North Carolina,2102289,1152880,4096438,28.14347489
North Dakota,159600,92276,340072,27.13425392
Ohio,2404826,1316386,4918798,26.76235129
Oklahoma,888555,465993,1575921,29.56956599
Oregon,790184,421916,1640166,25.7239816
Pennsylvania,2466871,1353299,5386390,25.12441542
Rhode Island,194627,113179,449122,25.200057
South Carolina,1001838,527243,1994300,26.43749687
South Dakota,195063,100724,373454,26.97092547
Tennessee,1368081,741709,2683989,27.63457674
Texas,6635831,3386865,10021739,33.79518265
Utah,835967,371488,977947,37.98651665
Vermont,107941,57614,280303,20.55418601
Virginia,1721391,956306,3350702,28.54046704
Washington,1487651,813584,2869570,28.35212244
West Virginia,347592,193715,782725,24.74879428
Wisconsin,1184543,647374,2467726,26.23362561
Wyoming,129104,68556,243079,28.20317675
