fips,name,st,state,lng,lat,area
01001,Autauga County,AL,Alabama,-86.6428503273124,32.535162193150256,1539589643
01003,Baldwin County,AL,Alabama,-87.72273844580272,30.7279939658732,4117584013
01005,Barbour County,AL,Alabama,-85.3912493862649,31.869764801398503,2291820706
01007,Bibb County,AL,Alabama,-87.12755060974702,32.99843432170014,1612481559
01009,Blount County,AL,Alabama,-86.56698217386479,33.98086896149274,1670041875
01011,Bullock County,AL,Alabama,-85.71564388715684,32.100401531899394,1613059135
01013,Butler County,AL,Alabama,-86.6803980488756,31.752516732901213,2011976232
01015,Calhoun County,AL,Alabama,-85.82585472362884,33.77149384021152,1569245411
01017,Chambers County,AL,Alabama,-85.39168915163965,32.91366621699227,1545009121
01019,Cherokee County,AL,Alabama,-85.60386443449619,34.17588438708397,1434128031
01021,Chilton County,AL,Alabama,-86.71929810445629,32.8480546407817,1794482899
01023,Choctaw County,AL,Alabama,-88.26305322314073,32.02019310851011,2365954971
01025,Clarke County,AL,Alabama,-87.83077180857877,31.67695451229991,3207612185
01027,Clay County,AL,Alabama,-85.8608107386233,33.269654651122295,1564252367
01029,Cleburne County,AL,Alabama,-85.51795477942056,33.674937226410705,1450663941
01031,Coffee County,AL,Alabama,-85.98828821420395,31.401883963851688,1758565487
01033,Colbert County,AL,Alabama,-87.80463370912904,34.70085283730993,1534878331
01035,Conecuh County,AL,Alabama,-86.99376905244024,31.42905570676728,2201896058
01037,Coosa County,AL,Alabama,-86.2478940904058,32.93629559814978,1685891509
01039,Covington County,AL,Alabama,-86.4514262928952,31.24861005044696,2668870080
01041,Crenshaw County,AL,Alabama,-86.31341907266966,31.731697749057826,1576887783
01043,Cullman County,AL,Alabama,-86.86720251495908,34.13184420792772,1903376556
01045,Dale County,AL,Alabama,-85.61107438764421,31.431711229466856,1453371189
01047,Dallas County,AL,Alabama,-87.1064659173107,32.326080769015725,2534807220
01049,DeKalb County,AL,Alabama,-85.80395171580841,34.46021171220371,2012664317
01051,Elmore County,AL,Alabama,-86.14884036137012,32.597241256923226,1601876535
01053,Escambia County,AL,Alabama,-87.16175985637776,31.126186566091828,2447747106
01055,Etowah County,AL,Alabama,-86.03476156500751,34.04519575933009,1386379576
01057,Fayette County,AL,Alabama,-87.73924330642625,33.721172660073435,1625693286
