fips,name,st,lng,lat,area
01,Alabama,AL,-86.82856727863387,32.78871085642884,131173369432
04,Arizona,AZ,-111.664639071248,34.29321115005775,294204474990
05,Arkansas,AR,-92.43906311822751,34.899871241219714,134769279101
06,California,CA,-119.61056021596379,37.24595553055801,403488955894
08,Colorado,CO,-105.54781469615521,38.99854551511282,268428431772
09,Connecticut,CT,-72.72640497756755,41.620148536050166,12542452026
10,Delaware,DE,-75.50028373702726,38.99204548878464,5047105127
11,District of Columbia,DC,-77.01629654392698,38.90478149187867,158364990
12,Florida,FL,-82.49771957501527,28.620313423771538,138904831800
13,Georgia,GA,-83.445797164987,32.64917784448294,149169759045
16,Idaho,ID,-114.65932423559987,44.38915930322695,214042831252
17,Illinois,IL,-89.19841963931836,40.0650082060246,143794894211
18,Indiana,IN,-86.27562549855273,39.90813673106097,92790537698
19,Iowa,IA,-93.5000650670773,42.074627192782465,144667481633
20,Kansas,KS,-98.38021614183066,38.48469938007225,211752682810
21,Kentucky,KY,-85.2905685516453,37.526656291719746,102266253024
22,Louisiana,LA,-91.97327150811792,31.048477729767463,111903220951
23,Maine,ME,-69.22289108899041,45.359817791411956,79885774936
24,Maryland,MD,-76.76618891296536,39.03121025796488,25147417568
25,Massachusetts,MA,-71.7950989743065,42.25228990949826,20205425910
26,Michigan,MI,-85.43589656514371,44.352469815035846,146455475554
27,Minnesota,MN,-94.30873988005344,46.316431378520974,206236191895
28,Mississippi,MS,-89.66429805732693,32.74880675652455,121531969224
29,Missouri,MO,-92.47742457510518,38.36765846221424,178052626882
30,Montana,MT,-109.6450091135246,47.033559063096085,376964776680
31,Nebraska,NE,-99.81084819474812,41.527149711863935,198972429772
32,Nevada,NV,-116.65538515310857,39.35643474393515,284332114099
33,New Hampshire,NH,-71.57766142933582,43.68574513468259,23188026108
34,New Jersey,NJ,-74.66081603542581,40.18417144064927,19048075783
35,New Mexico,NM,-106.1083707585786,34.42138919669498,314161426332
36,New York,NY,-75.50260474511425,42.94015453739759,122054140553
37,North Carolina,NC,-79.35641498909074,35.53968516211673,125918092834
38,North Dakota,ND,-100.46931461928644,47.446336062488975,178711991307
39,Ohio,OH,-82.79018130970277,40.29355614308506,105831379985
40,Oklahoma,OK,-97.5084387928913,35.58354797115946,177663043025
41,Oregon,OR,-120.55516902274556,43.93666211076667,248608778890
42,Pennsylvania,PA,-77.79958907787729,40.87388873670274,115883499352
44,Rhode Island,RI,-71.5527384082136,41.6757988842318,2677759613
45,South Carolina,SC,-80.8958162272352,33.907636549324906,77858297564
46,South Dakota,SD,-100.23044797641488,44.436130896534166,196349394266
47,Tennessee,TN,-86.3433539028443,35.84297953257122,106800181941
48,Texas,TX,-99.3494639621783,31.48258363702649,676634395761
49,Utah,UT,-111.6782048651578,39.3237888622464,212885012434
50,Vermont,VT,-72.66271933120355,44.07519851001685,23872224593
51,Virginia,VA,-78.80827805415372,37.51527276351026,102282988386
53,Washington,WA,-120.45086011855355,47.38228437344532,172121026344
54,West Virginia,WV,-80.61370685580543,38.64256321766697,62266577599
55,Wisconsin,WI,-90.0114752778498,44.639490186971884,140269484183
56,Wyoming,WY,-107.55144626079802,42.99963537644822,251465042238
